CPU_Usage (%),Memory_Usage (%),Storage_Usage (GB),Network_Traffic (MB/s),Instance_Type,Cost
40,22,77,770,t2.large,162.92
74,41,81,116,t2.large,169.16
94,19,150,706,t2.large,206.43
51,58,437,137,t2.large,195.03
58,97,425,374,t2.large,231.43
33,51,99,977,t2.micro,114.61
80,85,153,900,t2.medium,198.29
63,63,315,185,t2.medium,159.85
11,11,250,881,t2.small,103.15
37,55,79,524,t2.small,103.53
43,53,197,382,t2.large,175.77
12,91,97,655,t2.micro,104.16
79,77,227,114,t2.micro,132.7
66,26,347,363,t2.small,133.87
15,62,148,377,t2.small,91.76
14,64,291,421,t2.large,168.18
33,37,342,840,t2.small,136.21
54,47,429,251,t2.small,138.08
76,67,161,101,t2.micro,118.3
25,75,318,618,t2.small,136.47
93,11,116,686,t2.small,136.93
83,64,199,594,t2.micro,152.05
66,40,239,453,t2.small,133.57
62,23,397,456,t2.large,196.76
68,21,177,850,t2.medium,158.82
47,47,218,756,t2.small,138.05
65,92,478,960,t2.micro,197.58
69,45,65,792,t2.small,138.66
75,49,499,418,t2.medium,190.28
65,82,164,161,t2.small,130.26
29,40,52,678,t2.large,158.61
56,98,496,593,t2.medium,205.61
14,43,52,782,t2.large,154.75
68,79,95,209,t2.micro,117.76
24,42,278,235,t2.micro,84.81
76,38,203,681,t2.small,144.83
37,11,342,825,t2.small,125.07
85,20,469,399,t2.medium,177.28
46,14,120,911,t2.micro,106.49
16,36,191,735,t2.small,105.66
58,69,193,576,t2.small,141.58
82,34,176,426,t2.small,135.44
94,59,459,297,t2.large,237.73
69,87,497,485,t2.micro,178.34
14,77,260,346,t2.micro,105.07
17,21,282,722,t2.large,162.25
99,80,467,897,t2.micro,210.23
39,50,423,781,t2.small,154.6
16,72,63,724,t2.medium,129.89
32,30,333,321,t2.medium,123.83
47,11,76,631,t2.medium,120.65
40,22,461,222,t2.micro,103.76
51,55,241,276,t2.large,183.54
25,65,82,639,t2.medium,127.62
91,26,118,648,t2.micro,128.48
10,52,367,868,t2.micro,124.47
47,26,474,906,t2.large,220.04
79,48,413,434,t2.micro,151.25
95,77,92,685,t2.large,227.1
64,84,203,338,t2.large,205.65
26,86,101,677,t2.large,183.71
59,79,166,690,t2.small,153.19
70,23,81,155,t2.micro,88.9
42,52,438,166,t2.micro,117.41
90,42,140,576,t2.small,146.93
53,27,419,881,t2.medium,175.72
53,10,59,109,t2.medium,91.32
79,81,234,244,t2.medium,169.28
50,81,489,619,t2.medium,197.44
51,32,486,868,t2.large,223.99
75,90,86,229,t2.medium,157.34
66,39,255,767,t2.micro,139.81
28,99,370,208,t2.medium,156.62
11,38,264,221,t2.large,143.82
75,16,420,581,t2.small,153.32
27,69,395,586,t2.small,142.71
92,11,163,479,t2.micro,122.22
69,86,230,420,t2.medium,174.49
57,43,352,826,t2.small,157.06
43,52,267,339,t2.medium,138.6
53,22,235,649,t2.large,185.64
86,19,290,814,t2.large,215.18
82,80,188,436,t2.small,157.01
95,72,427,605,t2.large,256.23
46,21,494,410,t2.large,187.71
80,49,427,609,t2.micro,163.17
65,32,294,775,t2.micro,137.98
66,99,329,301,t2.medium,185.69
30,83,250,402,t2.medium,145.7
69,42,292,142,t2.large,187.83
62,63,165,843,t2.large,213.58
43,76,61,322,t2.large,166.03
94,28,204,309,t2.micro,125.33
51,35,236,147,t2.large,167.12
42,39,64,944,t2.micro,110.98
85,67,489,587,t2.micro,180.7
85,28,175,212,t2.large,183.99
87,93,466,698,t2.medium,228.29
51,87,361,937,t2.small,183.0
18,45,436,337,t2.large,177.27
80,77,239,513,t2.medium,179.5
52,63,247,515,t2.small,136.35
55,88,88,282,t2.micro,114.69
22,45,382,307,t2.small,106.86
60,91,305,888,t2.large,244.51
45,98,117,927,t2.micro,148.57
36,76,444,398,t2.medium,167.16
60,76,293,205,t2.small,138.64
24,41,50,751,t2.medium,121.6
64,88,103,156,t2.micro,119.77
94,39,260,958,t2.medium,201.26
22,66,234,427,t2.small,113.34
68,54,419,113,t2.large,201.34
73,76,482,766,t2.large,253.48
53,20,217,576,t2.medium,137.99
41,13,476,810,t2.medium,162.12
92,21,206,284,t2.large,191.92
23,14,333,423,t2.medium,118.37
52,82,356,310,t2.micro,140.08
65,10,167,888,t2.micro,118.24
19,96,137,224,t2.medium,128.79
17,70,421,962,t2.micro,146.75
85,48,172,310,t2.micro,127.31
64,98,383,833,t2.large,250.97
55,39,287,313,t2.large,181.71
91,35,418,635,t2.medium,195.48
71,63,157,129,t2.medium,144.28
18,71,463,317,t2.small,129.35
70,89,106,654,t2.micro,146.87
67,50,466,874,t2.micro,172.79
70,58,486,303,t2.medium,179.13
94,59,461,623,t2.small,192.6
29,22,73,108,t2.large,121.74
13,74,467,482,t2.micro,124.91
97,44,289,724,t2.large,237.87
33,15,353,854,t2.medium,147.25
19,63,233,789,t2.large,183.15
49,67,433,509,t2.large,217.79
24,66,200,745,t2.large,186.0
13,78,258,934,t2.micro,131.9
31,92,93,602,t2.medium,148.86
75,17,248,402,t2.medium,142.89
38,64,324,256,t2.large,183.86
11,18,480,736,t2.micro,111.71
66,61,416,224,t2.small,148.49
74,92,159,467,t2.medium,177.41
10,72,126,339,t2.small,93.22
48,61,471,629,t2.micro,151.71
84,63,382,584,t2.small,178.26
14,24,458,382,t2.medium,128.58
26,67,134,874,t2.medium,148.99
71,61,475,924,t2.large,256.95
30,46,320,350,t2.medium,133.22
97,24,278,223,t2.micro,126.69
78,30,195,283,t2.medium,137.67
87,37,203,668,t2.medium,174.02
47,41,84,575,t2.micro,99.19
27,87,283,409,t2.small,130.4
74,88,54,426,t2.micro,131.39
97,77,169,457,t2.large,225.25
42,88,103,319,t2.large,178.78
98,96,73,377,t2.micro,154.14
32,37,493,510,t2.micro,127.22
61,95,145,389,t2.micro,130.4
12,96,404,415,t2.micro,126.73
50,33,472,803,t2.micro,148.87
34,65,496,726,t2.micro,152.1
16,36,213,381,t2.medium,109.25
95,24,192,669,t2.large,209.58
47,45,433,637,t2.micro,138.55
61,45,388,671,t2.large,218.21
97,94,302,350,t2.medium,204.38
89,46,80,750,t2.micro,140.69
10,98,130,415,t2.micro,97.07
95,39,384,222,t2.medium,172.46
34,22,342,454,t2.small,112.29
35,85,203,118,t2.micro,104.43
99,59,416,847,t2.large,262.43
73,14,482,464,t2.micro,140.63
84,84,429,735,t2.medium,225.02
56,74,383,491,t2.large,217.61
46,95,466,834,t2.large,250.81
20,53,432,916,t2.large,211.53
15,78,480,384,t2.large,197.58
20,56,494,357,t2.small,130.06
83,83,362,389,t2.micro,162.48
73,85,145,874,t2.small,170.55
59,10,262,257,t2.large,164.58
45,89,97,809,t2.large,204.06
61,95,443,832,t2.small,194.04
72,72,206,858,t2.large,229.03
33,45,285,340,t2.medium,129.3
96,31,466,802,t2.micro,179.76
36,89,325,742,t2.large,222.5
48,65,137,107,t2.micro,94.63
19,45,92,562,t2.small,91.1
93,17,255,733,t2.small,156.03
92,40,90,140,t2.small,123.51
71,62,260,442,t2.small,148.27
86,67,466,800,t2.micro,188.21
72,69,466,698,t2.micro,177.77
91,68,294,800,t2.medium,207.32
87,42,103,417,t2.small,132.88
18,16,331,576,t2.medium,122.68
11,99,437,210,t2.micro,124.31
66,48,141,548,t2.small,132.62
86,50,443,994,t2.micro,185.08
72,79,215,289,t2.small,144.35
36,97,452,207,t2.medium,168.67
72,95,271,965,t2.small,191.56
61,39,423,771,t2.small,163.43
69,62,108,966,t2.small,159.42
70,67,217,206,t2.medium,154.75
39,41,459,425,t2.small,135.51
86,97,219,181,t2.micro,149.32
67,65,243,663,t2.medium,179.11
74,70,78,622,t2.large,203.91
97,28,163,541,t2.small,143.19
22,54,366,274,t2.medium,130.27
40,36,163,352,t2.micro,93.94
43,41,109,287,t2.medium,116.32
39,99,193,543,t2.small,139.26
29,17,441,730,t2.small,125.82
74,31,324,311,t2.large,195.87
46,39,225,388,t2.micro,102.76
97,31,453,334,t2.medium,182.96
50,65,108,744,t2.micro,120.8
27,35,273,871,t2.small,125.84
81,86,379,842,t2.large,261.62
60,94,275,765,t2.small,175.4
52,42,373,401,t2.micro,124.25
96,79,125,637,t2.medium,188.17
69,57,208,782,t2.small,153.85
90,46,340,712,t2.small,176.51
89,30,275,568,t2.micro,145.61
71,77,168,738,t2.small,161.44
35,76,478,387,t2.large,207.07
18,65,470,113,t2.medium,136.39
36,49,327,277,t2.medium,139.63
10,11,271,819,t2.medium,123.19
41,14,496,480,t2.large,185.95
37,20,57,951,t2.medium,127.4
50,14,490,581,t2.small,140.99
15,79,249,937,t2.large,200.19
76,42,409,748,t2.small,170.45
78,56,456,357,t2.small,168.55
35,83,165,767,t2.small,143.08
15,84,396,779,t2.medium,169.92
10,69,406,111,t2.large,168.81
74,16,456,165,t2.small,132.87
69,24,101,480,t2.small,115.57
63,40,243,350,t2.micro,118.31
33,68,436,432,t2.medium,159.35
85,61,324,605,t2.large,231.33
20,47,426,496,t2.large,185.0
90,72,247,919,t2.large,248.93
29,15,230,449,t2.medium,115.72
88,12,431,567,t2.small,159.43
42,28,478,212,t2.small,123.65
16,33,356,874,t2.micro,118.42
23,34,214,214,t2.large,145.78
87,33,280,567,t2.medium,175.49
37,50,285,369,t2.medium,136.03
34,66,409,153,t2.micro,114.42
46,80,243,603,t2.medium,165.62
65,82,125,337,t2.small,140.12
72,76,160,974,t2.medium,193.81
63,48,332,796,t2.small,160.98
52,49,150,509,t2.large,180.11
51,47,262,204,t2.medium,135.72
15,61,306,570,t2.large,180.43
33,66,367,869,t2.medium,176.64
38,47,283,308,t2.large,173.53
17,93,305,635,t2.small,140.56
67,36,370,565,t2.large,211.23
36,50,212,615,t2.small,122.92
78,71,191,704,t2.micro,153.55
45,25,295,522,t2.micro,110.43
20,18,50,675,t2.small,83.82
67,61,245,682,t2.large,212.58
90,83,275,786,t2.large,254.95
25,66,430,516,t2.medium,159.07
78,50,90,554,t2.large,195.65
72,57,283,948,t2.micro,165.33
55,33,466,897,t2.large,221.85
74,79,474,986,t2.large,265.19
34,88,194,439,t2.large,189.68
64,92,152,684,t2.medium,183.6
72,29,127,508,t2.small,121.4
15,87,379,911,t2.small,156.29
25,89,284,788,t2.medium,169.27
63,14,300,669,t2.small,136.31
26,30,239,503,t2.medium,125.61
92,71,454,587,t2.large,252.73
80,42,408,586,t2.micro,157.75
53,96,139,658,t2.micro,143.68
24,23,274,514,t2.large,161.24
32,78,335,299,t2.micro,118.02
27,10,233,589,t2.micro,84.09
52,18,86,828,t2.medium,131.77
22,71,444,797,t2.large,215.79
11,10,488,843,t2.large,182.36
35,61,313,895,t2.micro,138.44
22,30,270,449,t2.large,157.64
44,23,454,935,t2.small,154.32
46,13,245,267,t2.medium,115.44
38,64,239,484,t2.small,125.78
91,42,118,779,t2.small,150.84
32,62,361,496,t2.medium,152.64
83,36,65,982,t2.medium,170.5
58,84,480,121,t2.medium,177.7
50,57,141,614,t2.micro,117.52
80,81,198,402,t2.medium,175.96
76,58,87,762,t2.medium,166.48
39,68,381,419,t2.large,201.13
24,54,469,191,t2.micro,112.21
55,78,471,375,t2.small,165.23
74,54,251,617,t2.medium,173.09
66,37,92,590,t2.micro,112.55
93,21,188,353,t2.micro,120.55
32,81,120,199,t2.large,167.0
76,96,62,948,t2.medium,192.07
24,44,382,918,t2.large,204.41
19,77,106,394,t2.large,162.26
35,38,219,408,t2.small,106.4
29,64,497,676,t2.micro,148.14
39,29,441,341,t2.large,182.65
99,74,348,862,t2.small,201.51
43,80,316,469,t2.large,199.04
74,31,231,261,t2.small,123.58
71,61,155,795,t2.small,155.65
97,57,165,610,t2.medium,179.73
45,62,461,197,t2.micro,126.86
71,99,485,827,t2.small,209.56
15,79,424,336,t2.small,131.44
78,35,345,601,t2.large,213.98
40,13,341,627,t2.large,184.34
43,58,288,873,t2.micro,145.49
56,53,324,237,t2.medium,149.89
81,32,385,748,t2.large,228.33
48,84,406,156,t2.medium,165.79
35,55,159,357,t2.large,165.45
11,17,144,227,t2.large,124.52
33,41,334,307,t2.micro,102.11
80,76,365,606,t2.large,243.15
41,92,382,260,t2.small,146.21
76,11,51,626,t2.large,173.01
72,36,487,602,t2.micro,157.92
66,17,486,372,t2.large,202.26
67,93,355,818,t2.micro,180.46
60,38,146,197,t2.small,105.29
29,52,62,485,t2.small,98.52
28,88,496,332,t2.micro,137.82
41,38,282,967,t2.large,202.87
57,31,230,860,t2.large,202.19
60,73,148,695,t2.micro,140.0
68,73,452,172,t2.medium,178.61
57,48,289,916,t2.micro,148.44
87,22,298,377,t2.medium,162.01
22,60,352,636,t2.micro,125.29
24,43,326,264,t2.micro,94.54
35,23,249,508,t2.micro,94.92
73,66,412,506,t2.medium,192.02
57,19,225,389,t2.medium,127.31
44,91,329,642,t2.medium,175.82
17,49,278,972,t2.micro,126.46
79,88,231,637,t2.medium,194.27
99,56,296,621,t2.micro,169.99
80,74,335,563,t2.large,230.09
26,47,336,770,t2.large,192.95
71,60,238,654,t2.large,214.21
94,35,84,475,t2.micro,125.96
64,66,499,486,t2.small,169.34
92,49,62,842,t2.large,217.85
70,55,277,317,t2.micro,131.52
75,62,402,931,t2.micro,181.07
82,42,283,860,t2.small,172.72
36,39,351,911,t2.medium,167.01
43,89,285,557,t2.large,208.69
50,98,490,983,t2.large,261.06
47,73,244,115,t2.small,120.12
51,77,330,719,t2.large,224.39
15,71,430,880,t2.large,215.47
63,37,486,935,t2.micro,169.84
99,79,140,521,t2.micro,161.44
86,65,149,731,t2.large,224.64
57,87,172,959,t2.micro,156.91
72,89,210,970,t2.micro,174.11
23,78,131,944,t2.small,136.83
68,14,315,293,t2.micro,108.99
74,98,334,296,t2.medium,188.2
67,24,460,198,t2.large,195.26
71,41,190,263,t2.medium,142.67
26,51,115,896,t2.micro,108.6
99,28,92,492,t2.micro,128.13
40,29,486,610,t2.micro,130.34
82,45,466,359,t2.small,166.08
92,13,229,578,t2.medium,163.91
86,53,257,173,t2.medium,157.77
20,29,286,961,t2.small,126.4
74,28,458,659,t2.large,223.66
82,42,172,128,t2.large,184.28
58,42,223,767,t2.micro,131.87
75,57,161,870,t2.micro,151.19
86,58,497,201,t2.medium,189.1
25,86,53,794,t2.small,125.09
23,49,298,300,t2.small,108.66
96,27,73,996,t2.small,159.51
74,89,176,322,t2.micro,142.88
81,13,319,227,t2.medium,143.95
98,39,123,950,t2.micro,154.71
68,31,97,865,t2.micro,125.44
71,51,296,800,t2.small,165.21
19,19,313,522,t2.small,102.75
16,49,499,777,t2.small,144.11
93,58,196,969,t2.small,185.35
81,63,242,937,t2.medium,201.89
64,83,372,823,t2.small,182.22
29,66,104,607,t2.medium,134.18
54,65,194,201,t2.micro,110.7
64,93,440,998,t2.medium,225.27
86,52,75,406,t2.large,192.89
52,30,406,180,t2.micro,111.98
10,60,268,527,t2.small,112.22
87,62,428,124,t2.micro,152.69
75,75,498,125,t2.small,167.38
54,88,403,474,t2.large,228.45
99,13,489,283,t2.small,157.56
51,10,434,861,t2.small,145.41
14,33,156,795,t2.micro,92.65
60,83,291,818,t2.micro,164.94
42,56,95,786,t2.medium,149.69
30,12,404,579,t2.small,118.22
23,61,341,793,t2.micro,134.12
35,48,375,717,t2.micro,132.5
18,62,196,138,t2.small,88.41
92,96,368,364,t2.medium,206.01
16,85,341,782,t2.micro,136.79
63,55,201,777,t2.medium,172.19
14,60,101,563,t2.small,97.21
68,61,362,857,t2.large,233.13
78,88,189,804,t2.medium,196.71
40,57,125,149,t2.small,94.39
44,98,245,624,t2.micro,148.1
32,72,299,778,t2.micro,137.24
51,91,461,805,t2.large,248.02
49,56,273,695,t2.medium,166.5
27,55,461,688,t2.micro,137.08
35,95,104,460,t2.micro,114.8
14,28,400,442,t2.large,167.57
21,10,251,437,t2.micro,74.75
54,13,377,973,t2.small,152.29
99,11,422,957,t2.micro,175.82
43,71,446,331,t2.small,148.59
31,89,366,621,t2.small,153.41
24,76,275,293,t2.medium,135.58
85,77,66,934,t2.small,171.13
30,76,412,282,t2.micro,126.96
57,27,480,487,t2.micro,137.06
60,62,319,450,t2.medium,166.6
14,87,262,350,t2.small,116.01
54,90,56,160,t2.medium,136.95
52,88,424,175,t2.small,150.48
16,76,383,293,t2.small,123.1
86,99,414,298,t2.large,248.69
81,32,245,597,t2.micro,133.26
28,91,404,373,t2.medium,163.23
41,36,280,538,t2.small,122.37
48,10,165,740,t2.medium,132.84
21,94,130,716,t2.small,130.89
78,68,153,318,t2.large,199.26
52,37,475,966,t2.medium,193.07
24,79,284,290,t2.medium,142.54
88,44,231,166,t2.medium,153.53
68,73,399,198,t2.large,214.34
21,91,197,656,t2.micro,122.01
17,26,305,550,t2.large,165.27
74,20,285,593,t2.micro,129.82
11,36,269,843,t2.small,112.59
52,42,374,147,t2.medium,144.14
56,25,118,800,t2.medium,141.21
35,31,109,549,t2.micro,86.37
35,84,51,399,t2.medium,128.77
54,10,485,954,t2.large,220.55
77,91,376,431,t2.small,179.27
20,75,203,205,t2.micro,94.21
85,38,155,396,t2.medium,150.03
69,59,186,326,t2.small,133.94
54,50,182,685,t2.medium,154.06
40,43,194,794,t2.micro,114.95
95,55,428,253,t2.micro,159.27
38,46,453,298,t2.micro,118.38
74,46,287,737,t2.micro,149.08
86,52,427,862,t2.micro,180.08
40,85,149,996,t2.micro,145.44
75,93,410,497,t2.large,244.56
51,34,384,230,t2.large,180.62
47,20,279,298,t2.micro,98.31
68,57,150,354,t2.micro,116.64
70,27,297,315,t2.small,129.9
57,90,316,856,t2.medium,199.65
59,37,486,112,t2.micro,124.11
64,41,119,901,t2.micro,133.71
59,66,439,697,t2.medium,194.07
55,46,206,295,t2.micro,105.08
89,63,378,846,t2.large,255.09
71,18,149,255,t2.small,105.69
45,98,278,764,t2.small,165.16
47,81,487,142,t2.medium,170.3
95,63,170,210,t2.micro,134.76
95,25,94,341,t2.medium,141.3
55,34,323,577,t2.small,138.99
11,82,236,973,t2.small,143.75
29,81,325,207,t2.micro,115.86
20,99,92,534,t2.medium,139.16
63,31,157,918,t2.small,139.54
86,55,362,722,t2.small,181.78
97,12,355,493,t2.medium,174.08
94,75,51,725,t2.medium,184.38
69,63,314,968,t2.micro,169.64
35,61,392,978,t2.micro,156.22
39,63,411,891,t2.medium,184.77
35,11,273,602,t2.small,108.39
30,79,218,178,t2.micro,102.32
99,52,405,634,t2.small,186.9
67,78,237,732,t2.large,222.56
41,75,395,703,t2.medium,180.06
44,91,342,126,t2.micro,125.63
67,53,195,122,t2.medium,139.54
27,67,75,168,t2.large,146.92
30,79,53,918,t2.medium,149.88
78,34,416,328,t2.medium,169.58
74,24,97,149,t2.small,99.11
81,26,325,501,t2.small,143.27
99,44,308,622,t2.large,230.05
72,37,73,494,t2.large,181.03
23,83,173,116,t2.micro,87.91
50,89,101,184,t2.large,178.01
27,74,424,108,t2.large,181.34
93,37,146,175,t2.micro,119.91
87,28,93,540,t2.large,190.74
28,51,426,382,t2.large,186.51
83,81,74,952,t2.large,230.04
62,62,290,782,t2.large,223.42
55,64,187,529,t2.micro,128.91
52,22,235,801,t2.micro,118.42
54,30,455,660,t2.small,148.94
76,60,256,566,t2.medium,179.2
36,46,454,961,t2.small,160.33
57,34,315,987,t2.micro,147.39
74,70,275,812,t2.small,174.72
91,91,212,875,t2.medium,212.43
14,51,440,407,t2.medium,140.19
26,47,395,467,t2.micro,113.94
60,75,163,908,t2.micro,151.45
62,19,301,349,t2.small,119.15
38,96,297,724,t2.micro,152.08
33,78,104,772,t2.micro,121.78
24,54,377,877,t2.medium,165.68
88,73,236,242,t2.large,215.02
93,50,284,673,t2.micro,161.17
74,34,263,683,t2.large,206.0
19,48,217,279,t2.micro,84.29
36,17,210,816,t2.micro,106.56
49,38,360,914,t2.large,214.07
44,29,133,146,t2.medium,105.15
80,68,486,831,t2.large,259.89
52,90,489,669,t2.small,184.13
80,94,112,534,t2.large,221.42
53,64,397,465,t2.medium,170.41
43,48,325,144,t2.large,173.36
47,93,263,699,t2.medium,181.59
11,73,371,103,t2.large,165.5
82,20,297,145,t2.small,126.77
57,17,147,326,t2.micro,88.92
25,65,63,583,t2.medium,124.83
22,75,368,817,t2.micro,138.36
19,63,162,699,t2.micro,105.18
75,79,482,394,t2.medium,202.78
14,56,139,742,t2.medium,131.97
82,50,212,116,t2.small,128.22
94,68,81,101,t2.small,133.92
60,31,98,486,t2.medium,132.94
73,96,206,819,t2.small,178.73
91,85,193,873,t2.small,190.86
41,63,494,587,t2.micro,151.5
40,12,293,951,t2.large,189.56
43,89,178,953,t2.micro,150.15
46,15,253,442,t2.micro,93.16
36,23,433,812,t2.micro,130.56
35,58,84,901,t2.micro,119.19
44,87,126,798,t2.micro,137.43
39,55,428,236,t2.small,127.04
85,17,207,435,t2.small,131.77
92,86,189,353,t2.micro,152.1
71,68,356,937,t2.medium,205.29
64,47,257,481,t2.small,137.46
48,49,469,299,t2.medium,160.91
16,95,279,892,t2.small,153.6
22,12,310,398,t2.medium,114.41
58,90,275,648,t2.micro,154.72
48,77,85,218,t2.micro,100.83
76,67,69,809,t2.medium,173.83
50,41,219,900,t2.micro,130.88
45,55,240,381,t2.medium,139.94
58,46,474,344,t2.large,212.65
54,19,467,134,t2.micro,111.36
98,41,310,792,t2.medium,198.84
44,98,137,890,t2.large,219.34
34,50,256,232,t2.medium,125.9
75,11,106,681,t2.micro,111.42
64,48,315,987,t2.medium,192.84
88,63,278,706,t2.small,174.24
73,63,340,537,t2.large,223.94
55,38,211,224,t2.micro,97.37
36,13,323,423,t2.large,164.85
28,60,234,242,t2.large,166.29
25,31,449,804,t2.micro,129.98
74,12,85,315,t2.micro,92.23
56,27,243,565,t2.micro,115.13
52,33,55,886,t2.micro,113.66
49,40,444,102,t2.micro,112.98
14,72,364,890,t2.micro,135.84
68,31,164,259,t2.small,110.79
63,66,397,999,t2.medium,207.1
25,69,70,383,t2.large,156.58
48,61,431,494,t2.medium,171.28
95,29,270,400,t2.medium,165.7
16,43,311,171,t2.small,95.09
79,69,222,298,t2.small,149.58
29,54,358,260,t2.small,115.02
27,61,400,534,t2.small,135.24
94,75,145,482,t2.small,163.27
15,39,70,347,t2.large,135.47
63,62,91,115,t2.medium,129.68
17,16,445,357,t2.medium,120.12
11,77,52,188,t2.micro,70.89
88,86,135,224,t2.medium,168.9
79,37,424,190,t2.large,203.4
17,23,148,232,t2.small,67.29
96,56,150,660,t2.micro,152.87
57,63,260,154,t2.small,122.98
69,56,454,534,t2.micro,156.1
48,98,496,579,t2.micro,171.73
60,28,212,685,t2.large,196.2
47,12,61,181,t2.large,132.75
16,83,176,700,t2.large,183.5
53,39,276,403,t2.small,123.95
17,15,305,297,t2.micro,76.22
25,12,174,337,t2.micro,70.42
85,31,459,755,t2.large,237.32
40,47,308,641,t2.small,136.49
88,44,368,694,t2.micro,164.27
62,56,208,427,t2.medium,150.8
38,18,355,570,t2.medium,136.93
21,59,442,572,t2.micro,125.95
29,64,70,993,t2.small,130.85
46,83,320,102,t2.micro,120.79
93,39,483,356,t2.micro,162.26
25,10,353,560,t2.medium,127.63
32,21,484,848,t2.micro,134.32
36,18,399,590,t2.large,180.72
92,50,226,767,t2.small,169.29
36,22,315,780,t2.large,187.43
14,90,454,153,t2.medium,146.97
64,77,414,932,t2.small,195.72
59,15,471,193,t2.small,123.86
52,67,85,804,t2.large,196.68
61,53,251,678,t2.medium,167.26
19,59,100,810,t2.micro,103.66
14,94,479,861,t2.micro,158.24
55,31,424,478,t2.micro,129.88
60,58,105,291,t2.medium,135.04
42,46,91,599,t2.large,171.03
35,50,348,467,t2.small,128.56
52,28,323,936,t2.medium,170.92
10,34,212,440,t2.micro,78.37
14,54,174,231,t2.large,144.27
49,53,157,264,t2.medium,131.1
43,45,439,461,t2.large,200.62
61,36,337,290,t2.small,129.98
69,87,84,122,t2.micro,112.68
47,68,105,926,t2.micro,136.1
62,55,349,279,t2.small,140.8
83,85,201,446,t2.medium,183.73
57,28,245,610,t2.micro,120.13
85,47,298,929,t2.medium,201.2
60,46,158,396,t2.small,117.19
88,60,183,482,t2.medium,169.96
31,80,176,148,t2.large,168.88
66,13,312,539,t2.small,129.94
84,79,147,721,t2.small,172.34
89,75,476,947,t2.large,277.26
47,57,497,579,t2.micro,153.58
92,10,74,528,t2.medium,142.65
56,58,116,428,t2.large,182.75
14,63,494,678,t2.large,204.34
13,77,378,708,t2.small,138.95
16,69,298,479,t2.large,179.13
93,78,295,240,t2.micro,152.0
24,58,199,521,t2.small,110.58
32,55,455,891,t2.small,161.52
80,38,290,331,t2.large,201.16
37,46,351,934,t2.medium,170.56
77,73,371,265,t2.medium,181.77
69,40,435,298,t2.small,145.49
53,58,454,152,t2.medium,160.83
78,12,72,936,t2.large,194.43
69,81,411,188,t2.medium,182.73
36,41,212,258,t2.small,102.76
79,74,148,989,t2.small,178.91
56,82,416,708,t2.micro,167.93
84,62,414,794,t2.large,250.04
49,83,488,370,t2.large,225.41
64,73,410,724,t2.small,178.43
25,50,396,594,t2.micro,120.79
87,68,218,460,t2.micro,153.28
71,37,264,881,t2.medium,181.19
48,91,123,970,t2.medium,179.93
19,67,472,437,t2.micro,127.63
18,41,230,288,t2.small,91.54
59,95,107,325,t2.medium,152.62
25,79,52,134,t2.medium,108.74
98,41,178,481,t2.small,149.05
96,89,327,144,t2.small,170.97
27,71,262,806,t2.large,203.75
87,32,277,464,t2.micro,138.9
18,89,375,774,t2.medium,170.76
81,66,62,982,t2.micro,155.01
92,41,161,254,t2.medium,156.07
83,50,348,757,t2.medium,197.09
84,71,348,471,t2.micro,160.43
97,26,248,316,t2.large,202.73
72,43,79,593,t2.micro,120.04
30,30,495,632,t2.medium,155.47
44,39,99,196,t2.small,91.41
15,99,354,669,t2.small,151.53
50,32,346,924,t2.small,150.21
94,51,170,243,t2.small,140.99
53,68,266,950,t2.small,165.05
21,47,273,455,t2.medium,128.74
79,44,185,447,t2.large,195.49
81,10,386,447,t2.small,143.85
78,13,211,444,t2.medium,144.96
91,57,218,920,t2.medium,199.03
28,91,449,362,t2.large,209.34
92,44,430,227,t2.small,162.66
59,98,479,953,t2.medium,223.12
65,59,445,665,t2.small,172.32
11,28,203,509,t2.large,149.18
85,84,107,862,t2.small,176.52
18,77,188,772,t2.medium,149.04
64,97,217,171,t2.medium,163.06
68,14,472,375,t2.medium,160.84
50,43,247,892,t2.large,203.9
68,41,447,632,t2.micro,156.78
50,52,488,628,t2.small,160.61
12,50,446,614,t2.small,129.45
31,40,285,389,t2.medium,128.25
18,17,386,608,t2.micro,98.74
80,96,461,607,t2.small,198.23
34,83,477,153,t2.micro,128.15
25,50,239,700,t2.large,180.89
91,67,348,272,t2.large,227.3
83,79,55,544,t2.micro,137.9
71,55,439,239,t2.micro,141.48
82,81,285,586,t2.small,174.79
95,33,327,235,t2.micro,134.3
31,32,338,424,t2.medium,132.73
86,24,182,138,t2.large,174.64
54,36,469,511,t2.large,204.98
93,38,289,594,t2.medium,183.05
89,13,482,807,t2.large,236.79
27,39,278,743,t2.medium,141.48
84,60,469,963,t2.medium,225.75
66,88,218,387,t2.medium,171.39
42,58,492,157,t2.small,132.97
38,85,428,176,t2.large,203.59
62,19,305,956,t2.small,150.95
95,72,83,112,t2.small,137.2
44,95,480,158,t2.small,153.69
97,24,462,921,t2.medium,214.41
96,89,66,428,t2.small,160.64
70,50,233,410,t2.medium,158.01
17,58,134,221,t2.large,144.66
27,71,298,118,t2.micro,96.98
91,94,337,388,t2.micro,173.65
82,80,67,197,t2.medium,155.13
61,11,445,293,t2.micro,115.51
49,90,69,600,t2.medium,156.1
68,87,200,608,t2.medium,178.29
45,65,372,694,t2.small,156.25
18,83,166,753,t2.large,186.93
83,28,181,719,t2.large,204.95
66,11,123,522,t2.medium,132.01
